user_id,course_id,coursetitle,completiondate,status,credithours,grade,trainingcost,trainingtype
1001,GDPR-001,RGPD & Protection des Données,2024-09-10,COMP,2.0,94.18,207.11,COMPLIANCE
1001,HEALTH-001,Santé & Sécurité au Travail,2024-10-08,COMP,4.0,85.95,254.73,COMPLIANCE
1001,FIRE-001,Sécurité & Évacuation Incendie,2024-09-13,COMP,1.0,84.31,92.55,COMPLIANCE
1001,DEI-001,Égalité Femmes-Hommes,2024-08-19,COMP,3.0,90.6,187.68,COMPLIANCE
1001,FRAUD-001,Prévention Fraude & Corruption,2024-09-30,COMP,2.0,73.79,146.36,COMPLIANCE
1001,ETHICS-001,Code de Déontologie Novaryn Tech,2024-10-05,COMP,1.5,78.02,130.04,COMPLIANCE
1001,COMM-001,Communication & Public Speaking,2024-11-11,COMP,8.0,78.31,392.68,OJT
1001,AWS-001,AWS Cloud Practitioner,2024-12-20,COMP,30.0,78.75,1684.88,ELEARN
1001,SAFE-001,SAFe Agile Practitioner,2024-12-27,FAIL,16.0,49.89,1491.76,COURSE
1001,PM-001,Product Management Essentials,2024-11-20,FAIL,20.0,44.35,1248.83,COURSE
1002,GDPR-001,RGPD & Protection des Données,2015-10-30,COMP,2.0,98.42,196.26,COMPLIANCE
1002,HEALTH-001,Santé & Sécurité au Travail,2015-11-14,COMP,4.0,95.36,256.73,COMPLIANCE
1002,FIRE-001,Sécurité & Évacuation Incendie,2015-10-29,COMP,1.0,91.9,108.9,COMPLIANCE
1002,DEI-001,Égalité Femmes-Hommes,2015-11-04,COMP,3.0,87.26,165.05,COMPLIANCE
1002,FRAUD-001,Prévention Fraude & Corruption,2015-11-12,COMP,2.0,86.62,149.79,COMPLIANCE
1002,ETHICS-001,Code de Déontologie Novaryn Tech,2015-10-25,COMP,1.5,98.86,118.18,COMPLIANCE
1002,K8S-001,Kubernetes Fundamentals,2023-09-08,COMP,24.0,87.07,1110.7,ELEARN
1002,EXCEL-001,Excel Avancé & Reporting,2023-01-30,COMP,8.0,60.56,362.82,ELEARN
1002,ML-001,Machine Learning Fundamentals,2025-03-31,ENR,40.0,0.0,1702.8,ELEARN
1003,GDPR-001,RGPD & Protection des Données,2013-11-18,COMP,2.0,86.03,193.8,COMPLIANCE
1003,HEALTH-001,Santé & Sécurité au Travail,2013-11-21,COMP,4.0,89.84,271.02,COMPLIANCE
1003,FIRE-001,Sécurité & Évacuation Incendie,2013-11-07,COMP,1.0,90.52,90.85,COMPLIANCE
1003,DEI-001,Égalité Femmes-Hommes,2013-11-02,COMP,3.0,98.94,186.28,COMPLIANCE
1003,FRAUD-001,Prévention Fraude & Corruption,2013-11-22,COMP,2.0,85.71,141.75,COMPLIANCE
1003,ETHICS-001,Code de Déontologie Novaryn Tech,2013-10-09,COMP,1.5,81.01,111.2,COMPLIANCE
1003,SCRUM-001,Scrum Fundamentals,2021-04-20,COMP,12.0,98.79,570.83,ELEARN
1003,REACT-001,React & TypeScript Masterclass,2023-09-15,COMP,36.0,93.27,1326.28,ELEARN
1003,K8S-001,Kubernetes Fundamentals,2025-05-07,ENR,24.0,0.0,1033.73,ELEARN
1003,COMM-001,Communication & Public Speaking,2024-06-09,COMP,8.0,68.52,428.56,OJT
1004,GDPR-001,RGPD & Protection des Données,2021-05-24,COMP,2.0,81.81,216.92,COMPLIANCE
1004,HEALTH-001,Santé & Sécurité au Travail,2021-05-29,COMP,4.0,85.47,269.67,COMPLIANCE
1004,FIRE-001,Sécurité & Évacuation Incendie,2021-05-17,COMP,1.0,96.77,106.97,COMPLIANCE
1004,DEI-001,Égalité Femmes-Hommes,2021-04-21,COMP,3.0,80.67,184.16,COMPLIANCE
1004,FRAUD-001,Prévention Fraude & Corruption,2021-05-09,COMP,2.0,78.95,138.21,COMPLIANCE
1004,ETHICS-001,Code de Déontologie Novaryn Tech,2021-05-10,COMP,1.5,96.71,112.47,COMPLIANCE
1004,SCRUM-001,Scrum Fundamentals,2024-04-15,COMP,12.0,81.16,671.73,ELEARN
1004,LEAD-001,Leadership & Management,2022-09-02,COMP,20.0,96.52,1278.11,COURSE
1004,REACT-001,React & TypeScript Masterclass,2025-05-02,ENR,36.0,0.0,1101.39,ELEARN
1004,K8S-001,Kubernetes Fundamentals,2024-12-16,COMP,24.0,71.97,1076.35,ELEARN
1005,GDPR-001,RGPD & Protection des Données,2019-03-24,COMP,2.0,86.09,190.78,COMPLIANCE
1005,HEALTH-001,Santé & Sécurité au Travail,2019-04-10,COMP,4.0,89.69,246.97,COMPLIANCE
1005,FIRE-001,Sécurité & Évacuation Incendie,2019-03-21,COMP,1.0,80.61,98.68,COMPLIANCE
1005,DEI-001,Égalité Femmes-Hommes,2019-04-04,COMP,3.0,96.51,187.53,COMPLIANCE
1005,FRAUD-001,Prévention Fraude & Corruption,2019-03-20,COMP,2.0,75.69,136.21,COMPLIANCE
1005,ETHICS-001,Code de Déontologie Novaryn Tech,2019-04-07,COMP,1.5,82.63,115.95,COMPLIANCE
1005,PYTHON-001,Python for Data Science,2024-07-30,COMP,24.0,79.17,1049.57,ELEARN
1005,SAFE-001,SAFe Agile Practitioner,2024-02-11,COMP,16.0,76.84,1421.05,COURSE
1006,GDPR-001,RGPD & Protection des Données,2013-10-02,COMP,2.0,90.45,185.1,COMPLIANCE
1006,HEALTH-001,Santé & Sécurité au Travail,2013-09-29,COMP,4.0,92.93,269.09,COMPLIANCE
1006,FIRE-001,Sécurité & Évacuation Incendie,2013-09-13,COMP,1.0,91.78,104.84,COMPLIANCE
1006,DEI-001,Égalité Femmes-Hommes,2013-10-03,COMP,3.0,81.67,165.95,COMPLIANCE
1006,FRAUD-001,Prévention Fraude & Corruption,2013-08-18,COMP,2.0,93.78,138.78,COMPLIANCE
1006,ETHICS-001,Code de Déontologie Novaryn Tech,2013-09-03,COMP,1.5,85.0,126.42,COMPLIANCE
1006,SCRUM-001,Scrum Fundamentals,2023-12-15,COMP,12.0,83.88,511.45,ELEARN
1006,SAFE-001,SAFe Agile Practitioner,2023-09-15,COMP,16.0,71.29,1224.7,COURSE
1006,SQL-001,Advanced SQL for Analytics,2022-04-13,COMP,16.0,84.7,855.02,ELEARN
1008,GDPR-001,RGPD & Protection des Données,2015-06-07,COMP,2.0,77.48,210.67,COMPLIANCE
1008,HEALTH-001,Santé & Sécurité au Travail,2015-06-12,COMP,4.0,99.83,237.37,COMPLIANCE
1008,FIRE-001,Sécurité & Évacuation Incendie,2015-07-18,COMP,1.0,82.87,99.48,COMPLIANCE
1008,DEI-001,Égalité Femmes-Hommes,2015-07-16,COMP,3.0,94.3,187.24,COMPLIANCE
1008,FRAUD-001,Prévention Fraude & Corruption,2015-06-28,COMP,2.0,88.33,140.66,COMPLIANCE
1008,ETHICS-001,Code de Déontologie Novaryn Tech,2015-07-03,COMP,1.5,88.87,111.57,COMPLIANCE
1008,PYTHON-001,Python for Data Science,2022-09-28,COMP,24.0,99.62,1128.73,ELEARN
1008,REACT-001,React & TypeScript Masterclass,2022-02-01,COMP,36.0,84.66,1052.74,ELEARN
1009,GDPR-001,RGPD & Protection des Données,2021-04-19,COMP,2.0,81.41,201.0,COMPLIANCE
1009,HEALTH-001,Santé & Sécurité au Travail,2021-05-30,COMP,4.0,89.0,236.57,COMPLIANCE
1009,FIRE-001,Sécurité & Évacuation Incendie,2021-05-07,COMP,1.0,82.78,91.23,COMPLIANCE
1009,DEI-001,Égalité Femmes-Hommes,2021-05-13,COMP,3.0,89.32,172.95,COMPLIANCE
1009,FRAUD-001,Prévention Fraude & Corruption,2021-05-03,COMP,2.0,80.91,163.29,COMPLIANCE
1009,ETHICS-001,Code de Déontologie Novaryn Tech,2021-05-31,COMP,1.5,82.54,115.68,COMPLIANCE
1009,PYTHON-001,Python for Data Science,2021-11-19,COMP,24.0,86.42,946.49,ELEARN
1009,SCRUM-001,Scrum Fundamentals,2022-09-14,COMP,12.0,71.21,619.17,ELEARN
1010,GDPR-001,RGPD & Protection des Données,2019-09-26,COMP,2.0,75.55,217.93,COMPLIANCE
1010,HEALTH-001,Santé & Sécurité au Travail,2019-09-22,COMP,4.0,80.03,230.58,COMPLIANCE
1010,FIRE-001,Sécurité & Évacuation Incendie,2019-10-11,COMP,1.0,70.41,101.04,COMPLIANCE
1010,DEI-001,Égalité Femmes-Hommes,2019-09-07,COMP,3.0,79.94,188.69,COMPLIANCE
1010,FRAUD-001,Prévention Fraude & Corruption,2019-09-22,COMP,2.0,92.29,152.67,COMPLIANCE
1010,ETHICS-001,Code de Déontologie Novaryn Tech,2019-10-07,COMP,1.5,81.15,123.61,COMPLIANCE
